tick,robot,x,y,heading,fwd_cmd,lat_cmd,yaw_cmd,dpos,d_collisions,dist_to_target
21,0,98.49,132.6,2.076,0.0,0.0,1.0,0.0,0,13.7
21,1,131.66,98.38,-1.1,0.996,0.0,-0.133,0.48,0,28.4
21,2,41.95,14.04,1.035,1.0,0.0,-0.008,0.001,1,
21,3,14.04,41.95,0.536,1.0,0.0,0.008,0.001,1,
22,0,98.49,132.6,1.954,0.0,0.0,-1.0,0.0,0,37.1
22,1,131.93,97.85,-1.118,0.996,0.0,-0.135,0.6,0,27.8
22,2,41.95,14.04,1.034,1.0,0.0,-0.007,0.001,1,
22,3,14.04,41.95,0.537,1.0,0.0,0.007,0.001,1,
23,0,98.49,132.6,1.814,0.0,0.0,-1.0,0.0,0,37.1
23,1,132.24,97.2,-1.136,0.997,0.0,-0.112,0.72,0,27.0
23,2,41.95,14.04,1.033,1.0,0.0,-0.005,0.0,1,
23,3,14.04,41.95,0.537,1.0,0.0,0.005,0.0,1,
24,0,98.49,132.6,1.657,0.0,0.0,-1.0,0.0,0,37.1
24,1,132.6,96.44,-1.15,0.998,0.0,-0.09,0.84,0,26.2
24,2,41.95,14.04,1.033,1.0,0.0,-0.004,0.0,1,
24,3,14.04,41.95,0.538,1.0,0.0,0.004,0.0,1,
25,0,98.49,132.6,1.5,0.0,0.0,-1.0,0.0,0,37.1
25,1,132.99,95.56,-1.161,0.999,0.0,-0.073,0.96,0,25.3
25,2,41.95,14.04,1.032,1.0,0.0,-0.003,0.0,1,
25,3,14.04,41.95,0.539,1.0,0.0,0.003,0.0,1,
26,0,98.49,132.6,1.343,0.0,0.0,-1.0,0.0,0,37.1
26,1,133.42,94.57,-1.17,0.999,0.0,-0.059,1.08,0,24.2
26,2,41.95,14.04,1.032,1.0,0.0,-0.003,0.0,1,
26,3,14.04,41.95,0.539,1.0,0.0,0.003,0.0,1,
27,0,98.49,132.6,1.186,0.0,0.0,-1.0,0.0,0,37.1
27,1,133.89,93.46,-1.178,0.999,0.0,-0.049,1.2,0,23.0
27,2,41.95,14.04,1.031,1.0,0.0,-0.002,0.0,2,
27,3,14.04,41.95,0.539,1.0,0.0,0.002,0.0,2,
28,0,98.49,132.6,1.029,0.0,0.0,-1.0,0.0,0,37.1
28,1,134.39,92.24,-1.184,1.0,0.0,-0.04,1.32,0,21.7
28,2,41.95,14.04,1.031,1.0,0.0,-0.002,0.0,1,
28,3,14.04,41.95,0.54,1.0,0.0,0.002,0.0,1,
29,0,98.49,132.6,0.872,0.0,0.0,-1.0,0.0,0,37.1
29,1,134.94,90.91,-1.19,1.0,0.0,-0.034,1.44,0,20.2
