decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,84.3,13.1,194,1,83.0,12.7,0,0,0,-0.4000,scoring_volume=-0.480,24.2,0,43,1021.4
1,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.8,44.4,280,1,72.0,41.0,0,0,0,-0.5421,scoring_volume=-0.480,32.2,0,43,1677.7
2,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,75.5,39.5,156,4,72.0,41.0,3,0,3,5.2799,score_blue=+6.000,17.0,0,39,1682.1
3,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.9,44.8,315,1,72.0,41.0,6,6,0,-8.0502,score_red=-18.000,17.2,0,39,1664.5
4,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,78.6,37.9,155,1,72.0,41.0,6,9,-3,-7.8357,score_red=-9.000,14.9,0,38,1657.2
5,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,100.2,38.8,328,0,72.0,41.0,9,9,0,7.1116,score_blue=+6.000,21.6,0,38,1641.0
6,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,123.3,35.8,108,2,120.4,25.6,9,9,0,-0.1829,scoring_volume=-0.300,23.3,0,36,1055.7
7,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,106.8,29.5,196,0,120.4,36.4,15,9,6,15.0450,score_blue=+12.000,17.6,0,36,1783.9
8,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,105.6,92.0,86,6,105.8,95.2,15,9,6,-0.2429,collect_red=-2.000,62.5,0,30,1675.4
9,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,91.0,105.4,342,6,72.0,103.0,15,9,6,1.5069,ctrl_us=+2.000,19.8,0,30,1654.7
