decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,71.5,36.0,152,4,70.1,36.7,0,0,0,-0.8600,collect_red=-0.500,40.7,0,40,1103.7
1,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,28.5,38.0,273,3,49.0,40.0,0,3,-3,-9.6063,score_red=-9.000,43.0,0,40,1640.5
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,23.4,36.0,269,2,23.6,36.4,9,6,3,8.1452,score_blue=+18.000,5.5,0,37,1645.8
3,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,23.4,35.9,270,1,,,18,6,12,21.9714,score_blue=+18.000,0.1,0,35,1654.6
4,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,23.3,35.9,270,1,,,18,9,9,-9.4429,score_red=-9.000,0.1,0,34,1647.1
5,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,94.7,31.5,9,1,,,21,9,12,5.5571,score_blue=+6.000,71.5,0,33,1646.4
6,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,36.5,40.9,16,1,49.0,40.0,21,9,12,-0.6079,scoring_volume=-0.480,58.9,0,33,1655.3
7,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,66.6,35.1,2,0,23.6,36.4,24,9,15,5.4681,score_blue=+6.000,30.7,0,33,1647.4
8,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,93.0,35.9,2,0,95.0,36.0,24,9,15,-0.5229,scoring_volume=-0.480,26.4,0,33,986.9
9,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,50.3,36.2,188,0,49.0,36.0,24,9,15,-0.5353,scoring_volume=-0.480,42.7,0,33,1155.5
10,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,93.7,35.8,8,0,95.0,36.0,24,9,15,-0.5231,scoring_volume=-0.480,43.3,0,33,1156.6
11,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,50.3,36.2,188,0,49.0,36.0,24,9,15,-0.5330,scoring_volume=-0.480,43.4,0,33,1155.4
12,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,93.6,35.8,8,0,95.0,36.0,24,9,15,-0.5230,scoring_volume=-0.480,43.3,0,33,1156.5
13,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,50.3,36.2,188,0,49.0,36.0,24,9,15,-0.5330,scoring_volume=-0.480,43.3,0,33,1157.1
