decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,93.6,20.3,168,1,92.5,20.6,0,3,-3,-9.4000,score_red=-9.000,14.6,0,33,1580.0
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,56.2,103.6,178,7,95.0,104.0,0,3,-3,-11.7300,score_red=-9.000,56.4,0,33,1580.1
2,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.5,44.6,296,1,72.0,41.0,0,15,-15,-36.5843,score_red=-36.000,24.4,0,29,1579.5
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,53.3,102.0,106,7,72.0,103.0,0,15,-15,-37.3633,score_red=-36.000,3.3,1,29,1579.6
4,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,73.5,40.4,147,1,72.0,41.0,3,21,-18,-7.9155,score_red=-18.000,18.5,0,26,1572.9
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,52.8,99.2,122,7,72.0,103.0,3,21,-18,-10.0990,score_red=-18.000,2.9,0,26,1573.1
6,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,102.4,35.3,330,0,72.0,41.0,6,24,-18,-1.9917,score_red=-9.000,29.3,0,24,1586.3
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,52.5,90.1,126,6,72.0,103.0,6,24,-18,-2.3514,score_red=-9.000,9.1,0,24,1586.5
8,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,120.8,24.1,287,2,120.4,25.6,6,24,-18,-0.9714,collect_red=-0.500,21.5,0,22,1577.7
9,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,69.3,99.9,48,6,72.0,103.0,6,24,-18,-0.8514,scoring_volume=-0.360,19.4,0,22,1577.8
10,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,124.4,26.6,295,1,120.4,36.4,12,27,-15,8.8686,score_blue=+12.000,4.4,1,21,1571.1
11,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,42.2,92.2,123,5,72.0,103.0,12,27,-15,10.0465,score_blue=+12.000,28.1,0,21,1571.2
12,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,80.7,23.0,166,1,120.4,36.4,18,33,-15,-2.5400,score_red=-18.000,43.9,0,21,1574.7
13,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,41.6,91.9,135,1,72.0,103.0,18,33,-15,3.9456,score_red=-18.000,0.7,0,21,1574.9
14,120.0,0,SCORE_CENTER_MID,SCORE_LONG_GOAL,committed,94.2,33.9,166,1,95.0,40.0,15,36,-21,-15.3027,score_red=-9.000,17.3,0,22,1580.6
