decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,41.5,23.7,23,3,43.1,24.5,0,0,0,-0.9400,collect_red=-0.500,18.4,0,35,973.6
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,81.5,24.1,165,2,80.0,24.5,0,0,0,-1.0200,collect_red=-0.500,27.2,0,35,973.9
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,23.8,36.1,270,0,23.6,36.4,9,3,6,8.5657,score_blue=+18.000,21.6,0,33,1583.1
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.5,44.4,314,1,72.0,41.0,9,3,6,9.8990,score_blue=+18.000,22.6,0,33,1583.4
4,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,23.8,36.1,270,0,23.6,36.4,6,24,-18,-71.6429,score_red=-63.000,0.0,0,32,1591.1
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,78.1,38.2,156,1,72.0,41.0,6,24,-18,-70.6718,score_red=-63.000,14.7,0,32,1591.3
6,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,59.7,82.3,59,0,72.0,103.0,3,33,-30,-34.6071,score_red=-27.000,58.5,0,32,1590.0
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,99.5,37.1,327,0,72.0,41.0,3,33,-30,-33.0498,score_red=-27.000,21.4,0,32,1590.2
8,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,48.1,102.0,245,0,72.0,103.0,3,30,-27,7.5151,score_red=+9.000,22.8,0,32,1573.9
9,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,92.2,41.2,339,0,72.0,41.0,3,30,-27,7.3584,score_red=+9.000,8.4,0,32,1574.2
10,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,36.5,96.9,245,0,72.0,103.0,3,27,-24,4.5829,score_red=+9.000,12.7,0,32,1571.7
11,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,97.4,41.9,50,0,72.0,41.0,3,27,-24,4.2947,score_red=+9.000,5.3,1,32,1572.0
12,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,50.6,120.9,30,1,52.8,122.3,3,36,-33,-27.0470,score_red=-27.000,27.8,0,19,1495.6
13,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,104.3,48.2,38,4,105.7,49.1,3,36,-33,-28.1914,score_red=-27.000,9.4,0,19,1495.8
14,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,53.3,102.2,159,1,72.0,103.0,9,39,-30,2.3513,score_blue=+12.000,18.9,0,18,1568.5
