decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,30.8,33.8,83,3,30.9,35.5,0,0,0,-1.6400,collect_red=-1.000,17.2,0,37,936.1
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,113.4,11.9,13,2,114.3,12.9,0,0,0,-1.0244,collect_red=-0.500,8.1,0,37,936.2
2,120.0,0,SCORE_LEFT_LONG_GOAL_ALLIANCE,SCORE_LEFT_LONG_GOAL_ALLIANCE,policy,28.0,32.7,351,0,23.6,36.4,6,18,-12,-36.1945,score_red=-54.000,3.0,1,32,1580.2
3,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,120.2,36.0,270,0,120.4,36.4,6,18,-12,-35.9686,score_red=-54.000,25.1,0,32,1580.3
4,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,34.4,72.6,79,0,36.9,118.4,3,15,-12,5.0007,score_red=+9.000,40.5,0,31,1575.4
5,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,88.0,41.8,144,0,36.9,80.1,3,15,-12,4.7457,score_red=+9.000,32.7,0,31,1575.5
6,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,43.0,40.1,356,0,36.9,80.1,0,33,-33,-62.8887,score_red=-54.000,33.6,0,30,1572.8
7,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,80.2,34.9,244,3,36.9,63.9,0,33,-33,-64.0679,score_red=-54.000,10.5,0,30,1572.9
8,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,64.0,49.3,19,0,107.1,63.9,0,36,-36,-13.5721,score_red=-9.000,22.9,0,26,1577.7
9,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.6,44.6,315,2,72.0,41.0,0,36,-36,-12.0078,score_red=-9.000,15.0,0,26,1577.8
10,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,64.0,47.7,19,0,107.1,63.9,3,39,-36,-6.5514,score_red=-9.000,1.6,1,24,1578.5
11,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,78.7,38.0,156,1,72.0,41.0,3,39,-36,-2.8809,score_red=-9.000,14.5,0,24,1578.7
12,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,60.9,44.6,18,0,107.1,63.9,3,48,-45,-33.0800,score_red=-27.000,4.4,1,22,1565.4
13,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,80.3,43.2,67,1,72.0,41.0,3,48,-45,-32.7000,score_red=-27.000,5.4,1,22,1565.6
14,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.2,28.1,92,0,49.0,40.0,3,48,-45,-4.6911,ctrl_opp=-4.500,27.3,0,22,1578.8
15,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.3,44.9,315,1,72.0,41.0,3,48,-45,-4.6188,ctrl_opp=-4.500,11.2,0,22,1579.1
16,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,46.0,63.4,112,0,36.9,63.9,6,48,-42,3.0650,score_blue=+6.000,35.9,0,22,1572.0
17,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,96.1,40.8,200,0,72.0,41.0,6,48,-42,5.4713,score_blue=+6.000,6.2,0,22,1572.1
18,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,48.5,64.0,101,0,36.9,118.4,3,45,-42,1.3043,score_red=+9.000,2.5,1,23,1566.5
19,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,109.0,64.0,90,1,36.9,80.1,3,45,-42,1.4843,score_red=+9.000,26.6,0,23,1566.6
20,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,55.7,72.0,351,0,107.1,63.9,3,45,-42,-1.8057,ctrl_opp=-1.500,10.8,0,22,1578.2
21,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,82.5,37.1,8,1,72.0,41.0,3,45,-42,-1.4598,ctrl_opp=-1.500,37.8,0,22,1578.3
22,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,55.7,72.0,351,0,107.1,63.9,3,45,-42,-2.0057,ctrl_opp=-1.500,0.0,1,22,1581.8
23,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.1,44.9,313,1,72.0,41.0,3,45,-42,-1.5626,ctrl_opp=-1.500,11.7,0,22,1582.0
24,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,55.7,72.0,351,0,107.1,63.9,6,45,-39,5.5543,score_blue=+6.000,0.0,1,22,1572.1
