decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,29.0,30.7,92,4,28.7,32.0,0,0,0,-0.8600,collect_red=-0.500,13.7,0,32,1169.8
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,81.8,40.9,184,2,95.0,40.0,0,0,0,-1.7300,collect_red=-1.000,34.8,0,32,1170.3
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,22.9,36.3,270,1,23.6,36.4,6,3,3,2.4716,score_blue=+12.000,8.3,0,30,1872.5
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.4,45.1,313,2,72.0,41.0,6,3,3,2.1811,score_blue=+12.000,10.4,0,30,1872.8
4,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,32.5,32.0,350,0,,,12,9,3,-6.4627,score_red=-18.000,10.5,0,25,1776.7
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,75.9,39.2,156,1,72.0,41.0,12,9,3,-4.1542,score_red=-18.000,16.6,0,25,1777.2
6,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,77.8,47.3,18,0,80.0,47.6,12,12,0,-9.6371,score_red=-9.000,47.9,0,24,1699.6
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,102.2,35.7,329,0,72.0,41.0,12,12,0,-8.0938,score_red=-9.000,26.5,0,24,1699.8
8,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,71.7,40.4,0,0,72.0,41.0,12,12,0,-0.7121,scoring_volume=-0.480,9.2,0,24,1554.0
9,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,86.7,39.9,175,0,72.0,41.0,12,12,0,-0.6394,scoring_volume=-0.480,16.0,0,24,1554.3
10,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,97.4,42.5,64,0,95.0,40.0,12,12,0,-0.6371,scoring_volume=-0.480,25.8,0,24,1551.0
11,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,83.3,37.4,9,0,72.0,41.0,12,12,0,-0.8418,scoring_volume=-0.480,4.2,1,24,1551.2
12,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,108.2,47.9,64,0,72.0,41.0,12,12,0,-0.6371,scoring_volume=-0.480,12.1,0,24,1552.1
13,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,94.3,42.2,64,0,72.0,41.0,12,12,0,-0.7194,scoring_volume=-0.480,12.0,0,24,1552.2
14,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,98.9,52.9,199,0,72.0,41.0,12,12,0,-0.6371,scoring_volume=-0.480,10.5,0,24,1623.4
15,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,92.2,39.5,64,0,72.0,41.0,12,12,0,-0.8371,scoring_volume=-0.480,3.4,1,24,1623.7
16,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,100.2,56.3,199,0,72.0,41.0,12,12,0,-0.8371,scoring_volume=-0.480,3.6,1,24,1588.1
17,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,96.1,41.9,73,0,72.0,41.0,12,12,0,-0.9029,scoring_volume=-0.480,4.5,1,24,1588.4
18,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,94.5,42.1,52,0,72.0,41.0,12,12,0,-0.6521,scoring_volume=-0.480,15.3,0,24,1635.1
19,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,109.4,41.2,73,0,72.0,41.0,12,12,0,-0.6371,scoring_volume=-0.480,13.4,0,24,1635.5
20,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,88.5,40.1,52,0,72.0,41.0,12,12,0,-0.6371,scoring_volume=-0.480,6.3,0,24,1556.3
21,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,101.9,46.9,189,0,72.0,41.0,12,12,0,-0.6371,scoring_volume=-0.480,9.4,0,24,1556.5
22,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,94.6,42.5,69,0,72.0,41.0,12,12,0,-0.7059,scoring_volume=-0.480,6.6,0,24,1551.8
23,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,107.0,50.9,189,0,72.0,41.0,12,12,0,-0.6371,scoring_volume=-0.480,6.5,0,24,1552.1
24,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,91.6,39.6,69,0,72.0,41.0,12,12,0,-0.8371,scoring_volume=-0.480,4.1,1,24,1554.4
25,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,100.9,51.4,198,0,72.0,41.0,12,12,0,-0.6371,scoring_volume=-0.480,6.1,0,24,1554.5
26,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,95.5,42.0,72,0,72.0,41.0,12,12,0,-0.9011,scoring_volume=-0.480,4.5,1,24,1582.3
27,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,103.1,54.9,198,0,72.0,41.0,12,12,0,-0.8371,scoring_volume=-0.480,4.2,1,24,1582.4
28,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,108.2,37.1,72,0,72.0,41.0,12,12,0,-0.6371,scoring_volume=-0.480,13.6,0,24,1571.6
29,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,93.7,41.1,23,0,72.0,41.0,12,12,0,-0.6499,scoring_volume=-0.480,16.7,0,24,1571.9
