decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,117.7,19.3,188,2,120.4,25.6,0,0,0,-1.0800,collect_red=-0.500,9.8,0,34,1367.2
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,67.5,108.1,164,4,95.0,104.0,0,0,0,-1.5600,collect_red=-1.000,44.3,0,34,1367.3
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,111.7,31.5,186,0,120.4,36.4,3,15,-12,-39.4366,score_red=-45.000,13.6,0,31,1602.2
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,52.8,98.7,99,4,72.0,103.0,3,15,-12,-39.8492,score_red=-45.000,17.5,0,31,1602.3
4,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,92.6,30.8,181,1,90.6,30.8,9,33,-24,-41.9771,score_red=-54.000,19.1,0,24,1590.4
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,65.0,104.5,343,0,72.0,103.0,9,33,-24,-36.0598,score_red=-54.000,13.6,0,24,1590.5
6,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.8,44.7,310,1,72.0,41.0,9,33,-24,-0.1245,scoring_volume=-0.300,13.9,0,23,1577.9
7,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,93.4,104.5,3,0,95.0,104.5,9,33,-24,-0.0571,scoring_volume=-0.300,28.4,0,23,1578.0
8,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,98.6,52.4,315,0,72.0,41.0,15,45,-30,-14.4461,score_red=-36.000,10.3,0,16,1572.1
9,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,102.1,91.8,287,4,102.5,89.9,15,45,-30,-17.1514,score_red=-36.000,15.4,0,16,1572.2
10,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,50.8,36.1,183,0,95.0,40.0,15,45,-30,4.5286,ctrl_us=+4.000,50.5,0,16,1573.6
11,120.0,1,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,91.7,105.0,345,4,72.0,103.0,15,45,-30,4.4058,ctrl_us=+4.000,16.8,0,16,1573.8
12,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,11.7,36.9,178,2,10.3,37.0,15,48,-33,-7.5257,score_red=-9.000,39.1,0,14,1575.0
13,120.0,1,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,91.1,99.2,60,4,72.0,103.0,15,48,-33,-7.1944,score_red=-9.000,5.8,0,14,1575.1
14,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,27.8,34.4,351,1,23.6,36.4,24,51,-27,11.6862,score_blue=+18.000,16.3,0,15,1566.4
15,120.0,1,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,105.4,85.0,286,0,72.0,103.0,24,51,-27,17.6200,score_blue=+18.000,20.1,0,15,1566.6
16,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,69.9,34.3,4,0,23.6,36.4,27,51,-24,8.6200,score_blue=+6.000,42.1,0,15,1559.7
17,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,95.6,37.4,247,0,109.0,72.0,27,51,-24,8.6200,score_blue=+6.000,48.6,0,15,1559.8
18,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,93.1,35.9,4,0,95.0,36.0,27,51,-24,2.6200,ctrl_us=+2.000,23.3,0,14,1553.0
19,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,36.9,66.8,110,1,49.0,40.0,27,51,-24,2.7000,ctrl_us=+2.000,65.7,0,14,1553.1
20,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,39.5,59.6,110,0,49.0,40.0,27,51,-24,2.5851,ctrl_us=+2.000,58.7,0,14,1554.8
21,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,62.9,107.0,185,1,72.0,103.0,27,51,-24,2.5889,ctrl_us=+2.000,47.9,0,14,1554.9
