decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,49.9,26.6,21,2,51.1,27.1,0,0,0,-1.0200,collect_red=-0.500,27.3,0,35,937.8
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,97.9,23.6,140,2,96.6,25.0,0,0,0,-1.0200,collect_red=-0.500,11.6,0,35,937.9
2,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,67.0,43.4,335,2,72.0,41.0,0,24,-24,-71.9600,score_red=-72.000,23.9,0,32,1571.9
3,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,80.5,37.0,155,2,72.0,41.0,0,24,-24,-71.9600,score_red=-72.000,21.9,0,32,1572.0
4,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,43.0,335,2,72.0,41.0,0,36,-36,-32.4200,score_red=-36.000,3.0,0,25,1574.7
5,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,100.8,39.0,350,5,72.0,41.0,0,36,-36,-34.3000,score_red=-36.000,20.3,0,25,1574.8
6,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.9,45.0,225,1,72.0,41.0,0,39,-39,-4.8974,score_red=-9.000,11.2,0,23,1588.2
7,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,92.0,44.8,283,5,72.0,41.0,0,39,-39,-6.8897,score_red=-9.000,10.5,0,23,1588.4
8,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.4,44.7,244,1,72.0,41.0,0,51,-51,-35.0648,score_red=-36.000,0.6,0,23,1581.3
9,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,108.8,28.1,315,0,72.0,41.0,0,51,-51,-28.3514,score_red=-36.000,23.7,0,23,1581.5
10,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,47.0,47.9,225,1,72.0,41.0,0,66,-66,-41.6357,score_red=-45.000,6.3,0,21,1572.6
11,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,109.4,56.7,91,2,109.0,72.0,0,66,-66,-42.5800,score_red=-45.000,28.6,0,21,1572.7
12,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_MID_LEFT,committed,50.7,40.9,213,2,72.0,41.0,3,69,-66,0.5072,score_red=-9.000,7.9,0,18,1583.4
13,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,115.6,38.8,274,0,120.4,36.4,3,69,-66,-0.4852,score_red=-9.000,19.0,0,18,1583.5
14,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,39.2,2,2,95.0,40.0,3,90,-87,-60.5771,score_red=-63.000,13.4,0,14,1582.6
15,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,116.2,10.2,249,1,120.4,25.6,3,90,-87,-61.1571,score_red=-63.000,28.6,0,14,1582.8
16,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,48.2,40.8,151,2,95.0,40.0,3,93,-90,-8.6401,score_red=-9.000,15.9,0,14,1585.3
17,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,129.8,21.7,310,0,120.4,36.4,3,93,-90,-8.4371,score_red=-9.000,17.7,0,14,1585.4
18,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.1,360,2,95.0,40.0,3,93,-90,0.3629,goal_diversity=+0.600,15.8,0,13,1583.3
19,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,100.7,54.5,64,1,95.0,40.0,3,93,-90,0.4997,goal_diversity=+0.600,43.8,0,13,1583.4
20,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,47.4,42.2,122,2,95.0,40.0,6,93,-87,6.4628,score_blue=+6.000,16.7,0,13,1591.1
21,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,107.8,35.0,184,0,120.4,36.4,6,93,-87,6.5786,score_blue=+6.000,20.8,0,13,1591.2
22,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.1,360,2,95.0,40.0,6,93,-87,0.4079,goal_diversity=+0.600,16.7,0,12,1571.1
23,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,109.0,64.0,90,0,109.0,72.0,6,93,-87,0.5229,goal_diversity=+0.600,29.0,0,12,1571.3
24,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,47.4,42.2,122,2,95.0,40.0,6,93,-87,0.4628,goal_diversity=+0.600,16.7,0,12,1572.1
25,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,98.8,64.0,94,0,96.0,111.8,6,93,-87,0.5229,goal_diversity=+0.600,10.2,0,12,1572.3
26,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.1,360,2,95.0,40.0,6,93,-87,0.4079,goal_diversity=+0.600,16.7,0,12,1585.0
27,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,109.0,64.0,90,0,109.0,72.0,6,93,-87,0.5229,goal_diversity=+0.600,10.2,0,12,1585.1
28,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,47.4,42.2,122,2,95.0,40.0,6,93,-87,0.4628,goal_diversity=+0.600,16.7,0,12,1584.1
29,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,98.8,64.0,94,0,96.0,111.8,6,93,-87,0.5229,goal_diversity=+0.600,10.2,0,12,1584.3
30,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.1,360,2,95.0,40.0,6,93,-87,0.4079,goal_diversity=+0.600,16.7,0,12,1581.5
