decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,13.3,30.0,161,5,11.4,30.4,0,0,0,-2.8800,collect_red=-2.000,16.1,0,32,1070.5
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,81.8,41.1,182,3,95.0,40.0,0,0,0,-1.6500,collect_red=-1.000,34.9,0,32,1070.6
2,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,70.0,40.8,5,5,72.0,41.0,3,12,-9,-30.4543,score_red=-36.000,57.8,0,27,1585.0
3,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.4,45.2,313,2,72.0,41.0,3,12,-9,-28.7769,score_red=-36.000,10.5,0,27,1585.2
4,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,51.7,44.9,225,1,72.0,41.0,0,45,-45,-98.3096,score_red=-99.000,18.7,0,20,1583.6
5,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,98.5,50.0,305,3,72.0,41.0,0,45,-45,-101.7592,score_red=-99.000,8.5,0,20,1583.7
6,120.0,0,SCORE_LOW_RIGHT,SCORE_MID_LEFT,committed,55.0,42.4,201,1,72.0,41.0,6,48,-42,4.4914,score_blue=+12.000,4.1,1,19,1584.2
7,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,104.3,66.4,190,1,72.0,41.0,6,48,-42,8.4231,score_blue=+12.000,17.4,0,19,1584.4
8,120.0,0,SCORE_LOW_RIGHT,SCORE_MID_LEFT,committed,52.3,44.5,225,1,72.0,41.0,6,48,-42,0.6375,ctrl_us=+2.000,3.3,0,18,1576.7
9,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.2,40.1,321,1,72.0,41.0,6,48,-42,0.8215,ctrl_us=+2.000,29.4,0,18,1576.8
10,120.0,0,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,80.0,40.0,360,1,72.0,41.0,3,51,-48,-14.1800,score_red=-9.000,28.0,0,18,1576.9
11,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,94.6,46.2,315,1,72.0,41.0,3,51,-48,-14.1812,score_red=-9.000,7.0,0,18,1577.1
12,120.0,0,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,80.0,48.4,332,1,72.0,41.0,6,51,-45,8.3109,score_blue=+6.000,8.3,0,17,1567.6
13,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,69.1,38.7,33,1,72.0,41.0,6,51,-45,10.0428,score_blue=+6.000,26.6,0,17,1567.7
14,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_LOW_RIGHT,committed,78.2,55.8,223,1,72.0,41.0,6,51,-45,2.3800,ctrl_us=+2.000,7.6,0,17,1182.5
15,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_LOW_RIGHT,committed,81.0,41.1,111,1,72.0,41.0,6,51,-45,2.4800,ctrl_us=+2.000,12.2,0,17,1182.6
16,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.3,359,1,95.0,40.0,6,51,-45,2.3600,ctrl_us=+2.000,21.1,0,17,1584.4
17,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,115.5,38.1,267,1,95.0,40.0,6,51,-45,2.3464,ctrl_us=+2.000,34.6,0,17,1584.5
18,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,48.8,42.5,168,3,95.0,40.0,9,54,-45,-1.1682,score_red=-9.000,15.3,0,13,1573.9
19,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,129.4,24.6,318,1,120.4,36.4,9,54,-45,-0.8600,score_red=-9.000,19.5,0,13,1574.0
20,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.1,360,3,95.0,40.0,12,54,-42,11.2800,score_blue=+6.000,15.4,0,12,1588.4
21,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,120.7,36.1,271,1,120.4,36.4,12,54,-42,11.6696,score_blue=+6.000,14.4,0,12,1588.6
22,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,47.4,42.2,122,3,95.0,40.0,15,54,-39,10.4000,score_blue=+6.000,16.7,0,12,1582.4
23,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,108.0,64.0,77,0,,,15,54,-39,10.6153,score_blue=+6.000,30.7,0,12,1582.7
