decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,44.0,37.7,50,4,45.2,39.2,0,0,0,-2.9600,collect_red=-2.000,28.1,0,36,935.3
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,101.5,18.8,168,1,100.3,19.2,0,0,0,-0.4000,scoring_volume=-0.480,6.6,0,36,935.4
2,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,53.3,40.6,234,4,72.0,41.0,3,15,-12,-39.7690,score_red=-45.000,9.8,0,30,1568.8
3,120.0,1,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,121.5,21.4,277,1,120.4,36.4,3,15,-12,-39.1600,score_red=-45.000,20.2,0,30,1568.9
4,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,52.3,44.8,225,2,72.0,41.0,6,21,-15,-9.5420,score_red=-18.000,4.3,0,27,1581.8
5,120.0,1,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,120.0,36.1,269,1,120.4,36.4,6,21,-15,-12.8336,score_red=-18.000,14.8,0,27,1582.0
6,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,47.0,47.8,228,1,72.0,41.0,3,54,-51,-102.2691,score_red=-99.000,6.1,0,23,1577.4
7,120.0,1,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,119.3,35.8,261,0,,,3,54,-51,-105.9881,score_red=-99.000,0.7,1,23,1577.5
8,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,63.9,47.2,323,1,72.0,41.0,3,57,-54,-4.4811,score_red=-9.000,16.9,0,23,1581.1
9,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,81.3,36.2,172,0,80.0,36.4,3,57,-54,-6.0200,score_red=-9.000,38.0,0,23,1581.2
10,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,51.5,43.5,229,0,72.0,41.0,3,57,-54,3.5129,ctrl_us=+2.000,12.9,0,24,1588.8
11,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,84.0,34.8,172,0,80.0,36.4,3,57,-54,1.9800,ctrl_us=+2.000,3.1,0,24,1588.9
