decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,68.8,34.3,200,3,95.0,40.0,0,12,-12,-36.2971,score_red=-36.000,42.4,0,32,1355.2
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,127.5,131.8,354,2,129.4,131.6,0,12,-12,-37.0791,score_red=-36.000,20.3,0,32,1355.3
2,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,51.7,45.1,227,2,72.0,41.0,6,27,-21,-31.8107,score_red=-45.000,20.2,0,30,1584.7
3,120.0,1,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,118.9,110.3,144,0,120.4,107.6,6,27,-21,-33.1600,score_red=-45.000,23.1,0,30,1584.8
4,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,73.3,35.9,44,0,72.0,41.0,12,30,-18,12.3194,score_blue=+12.000,23.5,0,26,1587.5
5,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,55.2,106.9,196,0,49.0,104.0,12,30,-18,9.2200,score_blue=+12.000,63.7,0,26,1587.7
6,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,70.4,39.3,179,0,49.0,40.0,12,33,-21,-6.9943,score_red=-9.000,4.5,1,25,1590.0
7,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,112.4,278,0,49.0,104.0,12,33,-21,-6.7407,score_red=-9.000,35.0,0,25,1590.2
8,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,47.1,41.3,135,0,49.0,40.0,9,39,-30,-24.3177,score_red=-18.000,23.4,0,26,1590.7
9,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,112.4,278,0,23.6,107.6,9,39,-30,-24.4086,score_red=-18.000,0.0,1,26,1590.9
10,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.2,31.6,80,0,23.6,25.6,6,33,-27,10.2269,score_red=+18.000,28.6,0,29,1580.7
11,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,112.4,278,0,23.6,107.6,6,33,-27,10.0457,score_red=+18.000,0.0,1,29,1580.8
12,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.2,31.6,80,0,23.6,25.6,3,27,-24,8.5143,score_red=+18.000,0.0,1,31,1588.4
13,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,112.4,278,0,23.6,107.6,3,27,-24,8.5143,score_red=+18.000,0.0,1,31,1588.5
14,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,65.1,38.6,3,0,23.6,25.6,3,21,-18,18.7429,score_red=+18.000,45.5,0,31,1574.4
15,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,8.8,131.8,102,2,23.6,107.6,3,21,-18,18.2029,score_red=+18.000,22.8,0,31,1574.6
16,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,59.7,36.7,19,0,72.0,41.0,6,24,-18,-5.0714,score_red=-9.000,5.7,1,31,1575.9
17,120.0,1,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,25.0,110.5,36,0,23.6,107.6,6,24,-18,-4.7714,score_red=-9.000,26.8,0,31,1576.1
