decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,30.0,24.1,68,2,30.0,25.5,0,0,0,-1.0200,collect_red=-0.500,8.6,0,35,989.4
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,81.2,43.5,133,1,80.0,44.8,0,0,0,-1.1000,collect_red=-0.500,36.9,0,35,989.5
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,29.1,32.0,350,0,23.6,36.4,3,3,0,-3.5210,score_red=-9.000,7.9,0,33,1586.3
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.3,45.1,314,1,72.0,41.0,3,3,0,-3.7074,score_red=-9.000,10.3,0,33,1586.4
4,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,21.5,31.0,87,0,23.6,25.6,3,18,-15,-45.5464,score_red=-45.000,7.7,0,29,1573.4
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,75.0,44.6,30,2,72.0,41.0,3,18,-15,-44.5120,score_red=-45.000,16.4,0,29,1573.5
6,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,67.1,45.6,172,0,72.0,41.0,3,21,-18,-9.5545,score_red=-9.000,47.9,0,29,1578.3
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.7,44.4,315,1,72.0,41.0,3,21,-18,-8.0777,score_red=-9.000,16.7,0,29,1578.4
8,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,47.4,41.8,137,0,72.0,41.0,6,18,-12,14.8486,score_red=+9.000,20.1,0,29,1577.9
9,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,73.5,40.7,137,1,72.0,41.0,6,18,-12,15.8040,score_red=+9.000,18.5,0,29,1578.0
10,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,47.4,41.8,137,0,72.0,41.0,6,18,-12,-0.2571,scoring_volume=-0.300,0.0,1,29,1578.5
11,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,107.2,38.5,342,1,72.0,41.0,6,18,-12,0.7783,center_bonus=+1.500,33.8,0,29,1578.6
12,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,46.9,41.7,226,0,49.0,40.0,6,18,-12,-0.5769,scoring_volume=-0.300,0.5,1,29,1579.6
13,120.0,1,SCORE_LONG_GOAL,SCORE_CENTER_LOW,committed,92.3,41.7,310,1,72.0,41.0,6,18,-12,-0.2512,scoring_volume=-0.300,15.2,0,29,1579.7
14,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,51.1,38.3,46,0,49.0,40.0,6,18,-12,-0.4827,scoring_volume=-0.300,5.4,1,29,1575.1
15,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,92.0,44.8,314,1,72.0,41.0,6,18,-12,-0.2722,scoring_volume=-0.300,3.1,0,29,1575.2
16,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,76.3,52.2,14,0,80.0,47.6,6,21,-15,-9.1714,score_red=-9.000,28.8,0,28,1575.5
17,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,76.3,37.2,148,1,72.0,41.0,6,21,-15,-7.5063,score_red=-9.000,17.4,0,28,1575.6
18,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,79.8,53.9,279,0,80.0,47.6,9,21,-12,5.6886,score_blue=+6.000,3.9,1,26,1603.0
19,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,95.1,42.5,335,0,72.0,41.0,9,21,-12,7.4311,score_blue=+6.000,19.5,0,26,1603.1
20,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,64.0,47.7,279,0,,,9,27,-18,-18.4400,score_red=-18.000,16.9,0,26,1598.8
21,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,95.1,42.5,335,0,72.0,41.0,9,27,-18,-18.1400,score_red=-18.000,0.0,0,26,1599.0
22,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,78.5,46.9,21,0,80.0,47.6,9,27,-18,-0.1400,goal_diversity=+0.300,14.6,0,24,960.1
23,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,126.8,32.2,343,2,128.5,31.8,9,27,-18,-0.6800,collect_red=-0.500,33.4,0,24,960.3
24,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,47.5,45.5,86,2,64.0,41.0,12,30,-18,-3.3603,score_red=-9.000,31.0,0,22,1605.6
25,120.0,1,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,101.5,33.3,173,0,120.4,36.4,12,30,-18,-2.6800,score_red=-9.000,25.4,0,22,1605.7
26,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,39.1,54.6,86,1,72.0,41.0,15,33,-18,0.3925,score_red=-9.000,12.5,0,21,1600.4
27,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,81.6,33.3,182,0,80.0,33.3,15,33,-18,-2.7343,score_red=-9.000,19.9,0,21,1600.5
28,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,49.5,48.3,225,0,72.0,41.0,18,33,-15,7.9041,score_blue=+6.000,12.2,0,21,1592.9
