decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,57.1,34.6,193,4,95.0,40.0,0,0,0,-1.5600,collect_red=-1.000,53.6,0,30,1595.0
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,56.3,105.5,175,5,95.0,104.0,0,0,0,-3.5900,collect_red=-2.500,55.6,0,30,1595.1
2,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,53.4,41.2,243,4,72.0,41.0,0,12,-12,-36.8759,score_red=-36.000,7.5,0,26,1579.4
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,52.9,102.2,141,5,72.0,103.0,0,12,-12,-37.3835,score_red=-36.000,4.7,1,26,1579.5
4,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,52.6,44.6,232,4,72.0,41.0,0,15,-15,-9.8727,score_red=-9.000,3.5,0,26,1579.7
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,52.6,99.5,128,4,72.0,103.0,0,15,-15,-8.5802,score_red=-9.000,2.7,0,26,1579.8
6,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,65.7,31.7,49,1,72.0,41.0,6,39,-33,-50.6810,score_red=-72.000,18.4,0,24,1554.0
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,54.6,98.5,130,4,72.0,103.0,6,39,-33,-57.2371,score_red=-72.000,2.3,0,24,1554.1
8,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,47.9,37.8,304,0,72.0,41.0,9,39,-30,7.7764,score_blue=+6.000,18.8,0,24,1567.0
