decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,67.4,33.9,85,2,67.5,35.3,0,0,0,-1.0200,collect_red=-0.500,21.9,0,39,963.9
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,68.3,33.8,118,0,67.5,35.3,0,0,0,-0.4800,scoring_volume=-0.480,23.9,0,39,964.1
2,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,51.9,44.7,225,1,72.0,41.0,0,12,-12,-34.9600,score_red=-36.000,18.9,0,33,1543.0
3,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,90.0,29.0,328,4,91.5,27.9,0,12,-12,-37.4686,score_red=-36.000,22.2,0,33,1543.1
4,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,70.7,44.1,131,2,72.0,41.0,3,12,-9,6.5967,score_blue=+6.000,18.8,0,30,1546.4
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,92.8,41.0,328,4,72.0,41.0,3,12,-9,5.3152,score_blue=+6.000,12.4,0,30,1546.5
6,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,52.4,44.4,225,1,72.0,41.0,6,12,-6,7.2790,score_blue=+6.000,18.2,0,27,1574.0
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.8,44.8,313,3,72.0,41.0,6,12,-6,7.1708,score_blue=+6.000,3.9,0,27,1574.1
8,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,71.3,41.3,59,4,72.0,41.0,3,36,-33,-77.5777,score_red=-72.000,19.1,0,28,1579.6
9,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,86.6,32.4,151,1,72.0,41.0,3,36,-33,-73.3857,score_red=-72.000,13.4,0,28,1579.8
10,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_MID,committed,52.1,44.8,225,1,72.0,41.0,6,36,-30,10.5447,score_blue=+6.000,19.5,0,29,1587.4
11,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,92.5,44.4,312,0,72.0,41.0,6,36,-30,7.5477,score_blue=+6.000,13.4,0,29,1587.5
12,120.0,0,SCORE_LONG_GOAL,SCORE_CENTER_MID,committed,71.2,41.2,65,1,72.0,41.0,3,30,-27,12.9238,score_red=+18.000,19.4,0,31,1585.2
13,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,47.8,41.8,130,0,72.0,41.0,3,30,-27,12.0515,score_red=+18.000,44.8,0,31,1585.4
14,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,36.4,35.4,208,0,72.0,41.0,3,30,-27,1.5296,center_bonus=+1.500,35.3,0,32,1618.0
15,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,47.8,41.8,130,0,72.0,41.0,3,30,-27,-0.1371,goal_diversity=+0.300,0.0,1,32,1618.1
16,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,60.5,44.3,196,0,72.0,41.0,0,27,-27,2.8727,score_red=+9.000,25.6,0,31,1638.8
17,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,47.8,41.8,130,0,72.0,41.0,0,27,-27,2.8314,score_red=+9.000,0.0,1,31,1638.9
18,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,96.3,41.7,50,0,72.0,41.0,0,48,-48,-63.0357,score_red=-63.000,36.0,0,32,1637.2
19,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,96.5,41.8,53,0,72.0,41.0,0,48,-48,-63.0207,score_red=-63.000,48.7,0,32,1637.4
20,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,96.3,41.7,50,0,72.0,41.0,0,45,-45,8.8086,score_red=+9.000,0.0,1,32,1579.8
21,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,48.0,41.9,128,0,72.0,41.0,0,45,-45,9.0956,score_red=+9.000,48.5,0,32,1579.9
22,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,47.6,41.8,127,0,72.0,41.0,0,39,-39,18.0481,score_red=+18.000,48.8,0,33,1560.3
23,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,48.0,41.9,128,0,72.0,41.0,0,39,-39,17.8629,score_red=+18.000,0.0,1,33,1560.4
