decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,68.3,39.9,185,6,95.0,40.0,0,0,0,-0.0100,collect=+0.600,45.3,0,31,1330.6
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,69.3,108.5,162,2,95.0,104.0,0,0,0,-0.3200,scoring_volume=-0.480,42.4,0,31,1330.7
2,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,51.4,41.7,216,6,72.0,41.0,0,0,0,-0.6844,scoring_volume=-0.480,17.0,0,26,1587.5
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,52.6,99.0,111,2,72.0,103.0,0,0,0,-0.6560,scoring_volume=-0.480,19.2,0,26,1587.6
4,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,51.7,36.9,203,6,72.0,41.0,6,36,-30,-93.3187,score_red=-108.000,4.8,1,24,1590.2
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,32.5,119.2,135,0,72.0,103.0,6,36,-30,-89.8914,score_red=-108.000,28.5,0,24,1590.4
6,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,51.3,41.9,219,6,72.0,41.0,6,33,-27,8.2203,score_red=+9.000,5.0,1,24,1581.6
7,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,22.3,113.5,269,0,23.6,118.4,6,33,-27,8.6086,score_red=+9.000,11.7,0,24,1581.7
8,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,50.6,36.5,142,6,72.0,41.0,6,30,-24,10.7332,score_red=+9.000,5.5,1,24,1592.4
9,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,22.3,113.5,269,0,23.6,107.6,6,30,-24,10.9229,score_red=+9.000,0.0,1,24,1592.5
10,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,50.8,44.9,257,6,72.0,41.0,6,27,-21,8.4253,score_red=+9.000,8.4,0,25,1582.8
11,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,22.3,113.5,269,0,23.6,107.6,6,27,-21,8.4229,score_red=+9.000,0.0,1,25,1583.0
12,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,38.9,51.7,225,1,72.0,41.0,12,21,-9,39.7514,score_red=+18.000,13.7,0,30,1578.3
13,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,22.3,113.5,269,0,23.6,107.6,12,21,-9,32.0714,score_red=+18.000,0.0,1,30,1578.4
14,120.0,0,SCORE_LONG_GOAL,SCORE_CENTER_MID,committed,72.7,37.5,148,1,72.0,41.0,12,21,-9,2.2105,ctrl_us=+2.000,36.7,0,29,1578.5
15,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,8.8,133.4,106,1,8.5,134.7,12,21,-9,2.2514,ctrl_us=+2.000,24.0,0,29,1578.7
16,120.0,0,SCORE_CENTER_LOW,SCORE_LONG_GOAL,committed,97.5,35.6,256,1,95.0,40.0,12,21,-9,2.0405,ctrl_us=+2.000,24.8,0,30,1581.3
17,120.0,1,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,34.5,111.9,359,0,23.6,107.6,12,21,-9,2.2114,ctrl_us=+2.000,33.4,0,30,1581.4
18,120.0,0,SCORE_CENTER_LOW,SCORE_LONG_GOAL,committed,88.8,34.0,177,0,120.4,36.4,12,21,-9,8.4772,ctrl_us=+6.000,8.8,0,26,1579.0
19,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,101.6,103.3,352,5,102.9,103.2,12,21,-9,7.4114,ctrl_us=+6.000,67.7,0,26,1579.1
20,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,45.2,33.5,158,2,49.0,36.0,12,27,-15,-13.4571,score_red=-18.000,43.5,0,25,1570.5
21,120.0,1,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,94.7,98.2,45,1,72.0,103.0,12,27,-15,-7.5816,score_red=-18.000,8.6,0,25,1570.6
22,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,24.2,35.9,270,1,23.6,36.4,12,27,-15,4.3793,ctrl_us=+4.000,21.1,0,26,1572.4
23,120.0,1,SCORE_LONG_GOAL,SCORE_CENTER_MID,committed,73.1,103.1,241,1,72.0,103.0,12,27,-15,5.2549,ctrl_us=+4.000,22.2,0,26,1572.6
24,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,89.5,34.1,19,0,23.6,36.4,12,30,-18,-4.5771,score_red=-9.000,65.3,0,26,1581.5
25,120.0,1,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,105.0,110.1,38,1,72.0,103.0,12,30,-18,-3.0409,score_red=-9.000,32.7,0,26,1581.6
26,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,77.3,41.3,183,0,72.0,41.0,12,30,-18,4.3229,ctrl_us=+4.000,14.2,0,26,1581.8
27,120.0,1,SCORE_LONG_GOAL,SCORE_CENTER_MID,committed,92.1,101.1,76,1,72.0,103.0,12,30,-18,4.3268,ctrl_us=+4.000,15.8,0,26,1581.9
