decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,39.1,53.2,125,4,38.3,54.5,0,0,0,-2.2600,collect_red=-1.500,49.2,0,36,1228.2
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,98.5,26.8,28,1,100.0,27.6,0,0,0,-0.4000,scoring_volume=-0.480,25.3,0,36,1228.4
2,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,57.1,37.8,167,4,72.0,41.0,0,0,0,-0.9082,scoring_volume=-0.480,23.7,0,35,1579.1
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.8,41.4,338,1,72.0,41.0,0,0,0,-0.5505,scoring_volume=-0.480,16.0,0,35,1579.3
4,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,52.7,44.9,229,3,72.0,41.0,0,3,-3,-8.3883,score_red=-9.000,8.4,0,34,1593.8
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.7,44.8,313,1,72.0,41.0,0,3,-3,-9.6182,score_red=-9.000,3.4,0,34,1593.9
6,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,56.7,31.8,28,1,72.0,41.0,6,9,-3,-2.2229,score_red=-18.000,13.8,0,29,1572.7
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,72.8,42.3,84,1,72.0,41.0,6,9,-3,-4.5594,score_red=-18.000,19.1,0,29,1572.8
8,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,51.7,43.9,230,0,72.0,41.0,6,36,-30,-79.7751,score_red=-81.000,13.1,0,29,1615.1
9,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,106.7,37.5,286,1,72.0,41.0,6,36,-30,-80.4044,score_red=-81.000,34.2,0,29,1615.3
10,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,51.7,43.9,230,0,72.0,41.0,0,33,-33,-3.3400,score_blue=-12.000,0.0,0,32,1641.9
11,120.0,1,SCORE_LONG_GOAL,SCORE_CENTER_LOW,committed,92.0,44.8,275,1,72.0,41.0,0,33,-33,-3.5300,score_blue=-12.000,16.4,0,32,1642.0
12,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,51.7,43.9,230,0,72.0,41.0,0,33,-33,-0.3400,scoring_volume=-0.240,0.0,0,32,1615.4
13,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,78.4,39.1,164,1,72.0,41.0,0,33,-33,1.2184,center_bonus=+1.500,14.7,0,32,1615.5
14,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,51.7,43.9,230,0,72.0,41.0,3,30,-27,14.7343,score_red=+9.000,0.0,0,33,1553.9
15,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,101.1,40.3,339,0,72.0,41.0,3,30,-27,16.1813,score_red=+9.000,22.7,0,33,1554.2
16,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,51.7,43.9,230,0,72.0,41.0,3,30,-27,-0.3657,scoring_volume=-0.180,0.0,0,33,1551.6
17,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,47.9,41.8,131,0,72.0,41.0,3,30,-27,-0.3899,scoring_volume=-0.180,53.2,0,33,1551.7
