decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,38.0,23.6,28,2,39.4,24.4,0,0,0,-1.0200,collect_red=-0.500,15.1,0,34,930.1
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,81.5,24.0,166,2,80.0,24.4,0,0,0,-1.7200,collect_red=-1.000,27.2,0,34,930.2
2,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,51.7,41.1,201,2,72.0,41.0,0,30,-30,-92.6371,score_red=-90.000,22.2,0,31,1558.6
3,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.4,44.5,314,1,72.0,41.0,0,30,-30,-91.1651,score_red=-90.000,22.7,0,31,1558.7
4,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.5,44.8,227,2,72.0,41.0,0,42,-42,-37.3499,score_red=-36.000,3.8,0,27,1556.8
5,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,73.5,40.4,147,1,72.0,41.0,0,42,-42,-35.5368,score_red=-36.000,18.4,0,27,1557.0
6,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,43.4,72,0,72.0,41.0,6,42,-36,14.0042,score_blue=+12.000,11.6,0,26,1548.9
7,120.0,1,SCORE_MID_LEFT,SCORE_LOW_RIGHT,committed,102.4,35.3,330,0,72.0,41.0,6,42,-36,12.4539,score_blue=+12.000,29.3,0,26,1549.1
8,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,64.0,21.7,270,0,64.0,20.0,6,42,-36,-1.0857,ctrl_opp=-1.500,21.7,0,23,937.5
9,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,122.3,24.0,318,3,120.4,25.6,6,42,-36,-1.5457,ctrl_opp=-1.500,22.9,0,23,937.7
10,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,43.6,41.6,121,0,42.8,43.0,12,45,-33,5.0343,score_blue=+12.000,28.5,0,21,1561.3
11,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,123.4,27.0,296,0,120.4,36.4,12,45,-33,4.9343,score_blue=+12.000,3.1,1,21,1561.5
12,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,35.0,64.0,90,1,35.0,72.0,12,45,-33,1.1143,ctrl_us=+2.000,24.0,0,19,1406.7
13,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,132.3,10.1,298,1,133.0,8.8,12,45,-33,1.1143,ctrl_us=+2.000,19.1,0,19,1406.8
14,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,61.5,37.1,172,1,72.0,41.0,15,45,-30,7.1402,score_blue=+6.000,37.8,0,19,1568.6
15,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,108.6,32.5,175,0,120.4,36.4,15,45,-30,7.1943,score_blue=+6.000,32.7,0,19,1568.7
16,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.9,44.9,227,1,72.0,41.0,15,45,-30,1.0374,ctrl_us=+2.000,11.7,0,18,1559.5
17,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,109.0,64.0,90,1,109.0,72.0,15,45,-30,0.4743,ctrl_us=+2.000,31.5,0,18,1559.6
18,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,49.1,30.3,25,1,72.0,41.0,18,48,-30,-2.8753,score_red=-9.000,15.0,0,17,1553.8
19,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,115.6,39.1,270,0,120.4,36.4,18,48,-30,-3.8807,score_red=-9.000,25.7,0,17,1553.9
20,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.2,44.8,225,1,72.0,41.0,18,48,-30,-0.9068,ctrl_opp=-1.500,14.8,0,17,1560.0
21,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,18,48,-30,-0.8457,ctrl_opp=-1.500,0.0,0,17,1560.2
22,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,22.3,39.1,91,0,72.0,41.0,18,51,-33,-8.3855,score_red=-9.000,30.4,0,17,1565.1
23,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,18,51,-33,-9.8600,score_red=-9.000,0.0,0,17,1565.3
24,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,21.8,11.0,284,3,22.3,9.1,18,51,-33,-1.3697,ctrl_opp=-1.500,28.1,0,14,1027.1
25,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,18,51,-33,-0.8600,ctrl_opp=-1.500,0.0,0,14,1027.3
26,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,71.5,41.9,90,3,72.0,41.0,18,51,-33,-0.9200,ctrl_opp=-1.500,58.5,0,14,1568.2
27,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,18,51,-33,-0.8600,ctrl_opp=-1.500,0.0,0,14,1568.3
28,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,51.8,44.7,225,1,72.0,41.0,24,48,-24,24.7303,score_blue=+12.000,19.9,0,15,1564.8
29,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,24,48,-24,21.7743,score_blue=+12.000,0.0,0,15,1564.9
