decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,35.7,22.7,30,2,37.3,23.7,0,0,0,-1.0200,collect_red=-0.500,12.6,0,34,944.8
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,86.2,27.6,152,2,84.7,28.5,0,0,0,-1.0200,collect_red=-0.500,23.9,0,34,945.0
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,17.9,28.0,224,1,23.6,36.4,3,12,-9,-30.4429,score_red=-36.000,18.6,0,32,1580.6
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.8,44.6,314,2,72.0,41.0,3,12,-9,-30.7071,score_red=-36.000,17.9,0,32,1580.9
4,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,24.0,36.1,270,1,23.6,36.4,9,27,-18,-36.1980,score_red=-45.000,10.1,0,28,1578.0
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,81.7,36.6,156,1,72.0,41.0,9,27,-18,-32.4892,score_red=-45.000,13.0,0,28,1578.2
6,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,62.0,35.7,7,0,,,9,30,-21,-8.9971,score_red=-9.000,38.1,0,25,1575.4
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,96.3,39.4,320,1,72.0,41.0,9,30,-21,-8.1666,score_red=-9.000,14.9,0,25,1575.5
8,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.6,31.4,85,0,49.0,40.0,6,42,-36,-39.0333,score_red=-36.000,41.6,0,27,1589.1
9,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,92.2,44.8,310,1,72.0,41.0,6,42,-36,-39.1883,score_red=-36.000,6.8,0,27,1589.2
10,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.6,31.4,85,0,23.6,36.4,6,42,-36,-2.6800,ctrl_opp=-1.500,0.0,1,26,1574.0
11,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,73.5,40.7,158,2,72.0,41.0,6,42,-36,-1.5392,center_bonus=+1.500,19.1,0,26,1574.1
12,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.6,31.4,85,0,23.6,36.4,3,42,-39,-7.6657,score_blue=-6.000,0.0,1,28,1570.8
13,120.0,1,SCORE_CENTER_MID,SCORE_CENTER_LOW,committed,93.6,42.8,306,1,72.0,41.0,3,42,-39,-5.1317,score_blue=-6.000,20.2,0,28,1571.0
