decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,15.4,15.9,139,3,14.7,17.3,0,0,0,-1.6544,collect_red=-1.000,8.9,0,38,1039.8
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,90.5,37.7,125,1,89.6,38.9,0,0,0,-0.4000,scoring_volume=-0.480,26.3,0,38,1040.2
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,23.6,36.0,270,1,23.6,36.4,3,12,-9,-30.5543,score_red=-36.000,21.8,0,35,1587.0
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.4,45.2,282,1,72.0,41.0,3,12,-9,-30.5416,score_red=-36.000,7.6,0,35,1587.3
4,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,29.3,33.8,344,1,,,9,36,-27,-57.6582,score_red=-72.000,6.2,0,27,1571.6
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,77.3,39.5,165,1,72.0,41.0,9,36,-27,-56.2112,score_red=-72.000,15.2,0,27,1571.8
6,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,27.5,35.6,350,1,23.6,36.4,9,42,-33,-18.9203,score_red=-18.000,2.6,1,24,1593.1
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,101.4,40.4,341,0,72.0,41.0,9,42,-33,-16.6541,score_red=-18.000,24.1,0,24,1593.3
8,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,72.4,34.4,3,0,23.6,36.4,6,54,-48,-39.0686,score_red=-36.000,44.9,0,24,1558.4
9,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,45.7,38.7,202,0,49.0,40.0,6,54,-48,-39.1743,score_red=-36.000,55.8,0,24,1558.5
10,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,23.1,26.1,175,0,49.0,40.0,3,51,-48,2.2634,score_red=+9.000,49.9,0,26,1579.4
11,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,25.6,3,51,-48,2.3857,score_red=+9.000,26.0,0,26,1579.5
12,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.9,79,0,23.6,36.4,3,48,-45,11.2743,score_red=+9.000,6.4,0,27,1551.7
13,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,36.4,3,48,-45,11.0743,score_red=+9.000,0.0,1,27,1552.0
14,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.9,79,0,23.6,25.6,3,45,-42,8.5743,score_red=+9.000,0.0,1,28,1561.6
15,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,36.4,3,45,-42,8.4743,score_red=+9.000,0.0,1,28,1562.1
16,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.9,79,0,23.6,25.6,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1549.0
17,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,36.4,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1549.3
18,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.9,79,0,23.6,25.6,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1579.1
19,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,36.4,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1579.4
20,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.9,79,0,23.6,25.6,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1560.7
21,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,36.4,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1561.0
22,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.9,79,0,23.6,25.6,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1551.6
23,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,36.4,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1551.9
24,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.9,79,0,23.6,25.6,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1568.7
25,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,36.4,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1568.9
26,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.9,79,0,23.6,25.6,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1560.6
27,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,36.4,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1560.8
28,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.9,79,0,23.6,25.6,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1558.2
29,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.7,31.5,85,0,23.6,36.4,3,45,-42,0.4743,ctrl_us=+2.000,0.0,1,28,1558.4
