decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,27.6,22.4,83,3,26.7,23.6,0,0,0,-1.1400,collect_red=-0.500,5.7,1,31,933.5
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,109.0,28.6,44,2,110.5,29.4,0,0,0,-1.0200,collect_red=-0.500,10.7,0,31,933.7
2,120.0,0,SCORE_LEFT_LONG_GOAL_ALLIANCE,SCORE_LEFT_LONG_GOAL_ALLIANCE,policy,23.3,36.2,270,1,23.6,36.4,9,24,-15,-54.3103,score_red=-72.000,14.5,0,28,1566.2
3,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,121.6,31.3,288,0,120.4,36.4,9,24,-15,-54.2020,score_red=-72.000,12.8,0,28,1566.4
4,120.0,0,SCORE_LEFT_LONG_GOAL_ALLIANCE,SCORE_LEFT_LONG_GOAL_ALLIANCE,policy,41.5,25.5,339,0,,,12,36,-24,-26.7029,score_red=-36.000,21.1,0,27,1560.9
5,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,106.1,52.6,76,0,107.1,25.6,12,36,-24,-26.8138,score_red=-36.000,26.3,0,27,1561.0
6,120.0,0,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,64.0,48.9,36,0,107.1,80.1,0,30,-30,-4.3179,score_blue=-24.000,32.4,0,29,1557.9
7,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,107.8,85.5,80,0,107.1,80.1,0,30,-30,-4.0429,score_blue=-24.000,32.9,0,29,1558.1
8,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,32.8,36.9,85,0,49.0,40.0,0,30,-30,-1.2148,ctrl_us=+2.000,33.4,0,26,1637.5
