decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,114.4,29.3,233,3,120.4,25.6,0,0,0,-1.0220,collect_red=-0.500,13.0,0,36,1226.0
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,59.9,113.8,195,2,58.4,113.4,0,0,0,-0.3200,scoring_volume=-0.480,49.6,0,36,1226.1
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,110.5,34.8,154,1,120.4,36.4,6,3,3,2.7200,score_blue=+12.000,6.8,0,32,1574.3
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,51.3,102.6,149,2,72.0,103.0,6,3,3,2.5415,score_blue=+12.000,14.2,0,32,1574.6
4,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,120.7,36.1,271,1,120.4,36.4,12,27,-15,-56.7223,score_red=-72.000,10.3,0,28,1590.8
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,52.4,99.2,134,2,72.0,103.0,12,27,-15,-57.0183,score_red=-72.000,3.5,0,28,1590.9
6,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,132.2,42.6,270,1,,,15,27,-12,8.1629,score_blue=+6.000,13.2,0,29,1580.7
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,31.4,117.5,175,0,72.0,103.0,15,27,-12,11.1829,score_blue=+6.000,27.7,0,29,1580.8
8,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,131.7,43.1,31,1,120.4,36.4,9,24,-15,-1.1579,score_blue=-12.000,0.6,1,31,1587.3
9,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,21.4,113.0,269,0,23.6,118.4,9,24,-15,-0.8629,score_blue=-12.000,11.0,0,31,1587.4
10,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,93.5,36.4,175,0,120.4,36.4,6,24,-18,-3.9403,score_blue=-6.000,38.8,0,33,1580.7
11,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,70.8,99.8,49,0,72.0,103.0,6,24,-18,-4.0229,score_blue=-6.000,51.1,0,33,1580.9
12,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,76.5,39.9,167,0,72.0,41.0,6,21,-15,13.9914,score_red=+9.000,17.4,0,32,1580.9
13,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,41.4,101.6,235,0,72.0,103.0,6,21,-15,14.0699,score_red=+9.000,29.4,0,32,1581.0
14,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,107.4,43.9,44,0,72.0,41.0,6,15,-9,17.6412,score_red=+18.000,31.1,0,33,1561.0
15,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,37.6,95.5,316,0,72.0,103.0,6,15,-9,17.6714,score_red=+18.000,7.2,0,33,1561.2
16,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,101.7,49.7,188,0,72.0,41.0,3,24,-21,-33.2829,score_red=-27.000,8.1,0,34,1583.2
17,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,59.1,106.1,189,0,72.0,103.0,3,24,-21,-33.4014,score_red=-27.000,23.9,0,34,1583.4
18,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,90.2,38.4,194,0,72.0,41.0,0,18,-18,11.6857,score_red=+18.000,16.1,0,33,1586.0
19,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,32.3,106.0,151,0,72.0,103.0,0,18,-18,11.5762,score_red=+18.000,26.8,0,33,1586.1
20,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,27.9,25.1,218,0,49.0,40.0,0,15,-15,8.6000,score_red=+9.000,63.6,0,30,1581.2
21,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,10.4,118.7,158,1,23.6,118.4,0,15,-15,8.7800,score_red=+9.000,25.3,0,30,1581.4
22,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,12.2,12.8,218,1,11.2,12.0,3,15,-12,5.7800,score_blue=+6.000,20.0,0,26,1583.5
23,120.0,1,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,40.7,120.3,358,0,23.6,107.6,3,15,-12,5.7000,score_blue=+6.000,30.3,0,26,1583.7
24,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,14.0,34.0,175,2,23.6,36.4,6,30,-24,-33.3886,score_red=-45.000,21.3,0,23,1575.3
25,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,61.5,104.9,7,0,49.0,104.0,6,30,-24,-32.8486,score_red=-45.000,25.8,0,23,1575.4
26,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,51.3,33.2,4,0,23.6,36.4,9,33,-24,1.1342,score_red=-9.000,37.3,0,23,1570.5
27,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,70.8,105.8,273,0,72.0,103.0,9,33,-24,1.0371,score_red=-9.000,9.4,0,23,1570.7
28,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,97.0,42.2,58,0,72.0,41.0,6,48,-42,-46.9229,score_red=-45.000,46.6,0,25,1581.2
29,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,35.1,98.7,231,0,72.0,103.0,6,48,-42,-46.9279,score_red=-45.000,36.4,0,25,1581.3
30,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,97.0,42.2,58,0,72.0,41.0,6,45,-39,8.7429,score_red=+9.000,0.0,1,27,1579.7
