decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,56.3,38.8,185,5,95.0,40.0,0,0,0,-0.7900,collect_red=-0.500,55.7,0,27,1572.0
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,56.6,107.1,171,6,95.0,104.0,0,0,0,-2.1100,collect_red=-1.500,54.7,0,27,1572.2
2,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,53.1,41.4,244,5,72.0,41.0,0,15,-15,-46.0357,score_red=-45.000,4.2,1,25,1574.5
3,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,53.9,102.3,107,6,72.0,103.0,0,15,-15,-46.2603,score_red=-45.000,5.6,1,25,1574.7
4,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,52.6,44.6,232,4,72.0,41.0,6,21,-15,-4.9094,score_red=-18.000,3.2,0,22,1583.5
5,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,52.4,99.2,135,3,72.0,103.0,6,21,-15,-1.8926,score_red=-18.000,3.4,0,22,1583.7
6,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,52.5,53.7,229,4,72.0,41.0,12,24,-12,2.7800,score_blue=+12.000,9.1,0,20,1587.1
7,120.0,1,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,21.7,118.2,150,0,72.0,103.0,12,24,-12,7.4600,score_blue=+12.000,36.1,0,20,1587.2
8,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,51.6,57.5,274,4,72.0,41.0,9,21,-12,2.4343,score_red=+9.000,3.9,0,22,1588.1
9,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,19.4,111.0,302,0,23.6,107.6,9,21,-12,2.6143,score_red=+9.000,7.5,0,22,1588.2
10,120.0,0,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,50.6,39.0,163,4,72.0,41.0,9,27,-18,-18.1628,score_red=-18.000,18.5,0,22,1589.0
11,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,19.4,111.0,302,0,23.6,118.4,9,27,-18,-18.1657,score_red=-18.000,0.0,1,22,1589.1
