decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,62.7,43.0,35,4,64.0,43.9,0,0,0,-2.9600,collect_red=-2.000,46.1,0,30,1166.1
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,121.9,11.6,257,1,120.4,25.6,0,0,0,-0.4359,scoring_volume=-0.480,15.3,0,30,1166.2
2,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.8,45.0,226,3,72.0,41.0,3,3,0,-2.3834,score_red=-9.000,10.1,0,27,1578.4
3,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,112.4,33.8,186,1,120.4,36.4,3,3,0,-3.3543,score_red=-9.000,24.2,0,27,1578.5
4,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,69.9,37.6,55,1,72.0,41.0,6,33,-27,-82.4268,score_red=-90.000,18.6,0,22,1582.8
5,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,119.0,36.2,260,1,120.4,36.4,6,33,-27,-86.9594,score_red=-90.000,7.0,0,22,1583.0
6,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,43.3,43.6,114,1,72.0,41.0,12,33,-21,13.4169,score_blue=+12.000,27.2,0,20,1568.8
7,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,81.4,38.5,168,0,120.4,36.4,12,33,-21,11.9171,score_blue=+12.000,37.7,0,20,1568.9
8,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,22.2,26.7,150,1,72.0,41.0,15,33,-18,7.5068,score_blue=+6.000,27.0,0,17,1575.1
9,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,80.0,48.8,161,0,36.9,63.9,15,33,-18,5.6021,score_blue=+6.000,10.3,0,17,1575.2
10,120.0,0,SCORE_LEFT_LONG_GOAL_ALLIANCE,SCORE_MID_LEFT,committed,69.2,40.6,52,1,72.0,41.0,15,33,-18,-0.0531,goal_diversity=+0.300,49.0,0,17,1578.9
11,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,83.8,44.1,161,0,36.9,63.9,15,33,-18,-0.6229,goal_diversity=+0.300,6.0,1,17,1579.3
12,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,39.0,323,1,72.0,41.0,15,33,-18,-0.2429,goal_diversity=+0.300,5.5,1,17,1419.9
13,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,80.0,48.8,161,0,36.9,63.9,15,33,-18,-0.6229,goal_diversity=+0.300,6.0,1,17,1420.0
14,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,38.0,297,1,72.0,41.0,15,33,-18,-0.2537,goal_diversity=+0.300,1.0,1,17,1578.7
15,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,83.1,44.7,162,0,36.9,63.9,15,33,-18,-0.6229,goal_diversity=+0.300,5.1,1,17,1578.8
16,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,38.6,315,1,72.0,41.0,15,33,-18,-0.2621,goal_diversity=+0.300,0.6,1,17,1568.8
17,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,80.0,47.7,162,0,36.9,63.9,15,33,-18,-0.6229,goal_diversity=+0.300,4.4,1,17,1568.9
18,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,38.0,297,1,72.0,41.0,15,33,-18,-0.2580,goal_diversity=+0.300,0.6,1,17,1575.0
19,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,83.2,44.6,162,0,36.9,63.9,15,33,-18,-0.6229,goal_diversity=+0.300,4.5,1,17,1575.1
20,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,38.6,315,1,72.0,41.0,15,33,-18,-0.2622,goal_diversity=+0.300,0.6,1,17,1578.6
21,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,80.0,47.7,162,0,36.9,63.9,15,33,-18,-0.6229,goal_diversity=+0.300,4.5,1,17,1578.7
22,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,38.0,297,1,72.0,41.0,15,33,-18,-0.2580,goal_diversity=+0.300,0.6,1,17,1580.3
23,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,83.2,44.6,162,0,36.9,63.9,15,33,-18,-0.6229,goal_diversity=+0.300,4.5,1,17,1580.5
24,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,38.6,315,1,72.0,41.0,15,54,-39,-63.0222,score_red=-63.000,0.6,1,15,1572.8
25,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,80.0,47.7,162,0,36.9,63.9,15,54,-39,-63.3829,score_red=-63.000,4.5,1,15,1572.9
26,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,38.0,297,1,72.0,41.0,15,54,-39,-0.0180,goal_diversity=+0.300,0.6,1,13,1586.5
27,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,83.2,44.6,162,0,36.9,63.9,15,54,-39,-0.3829,goal_diversity=+0.300,4.5,1,13,1586.6
28,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,38.6,315,1,72.0,41.0,15,54,-39,-0.0222,goal_diversity=+0.300,0.6,1,13,1587.2
29,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,80.0,47.7,162,0,36.9,63.9,15,54,-39,-0.3829,goal_diversity=+0.300,4.5,1,13,1587.4
30,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,64.0,38.0,297,1,72.0,41.0,15,54,-39,-0.0180,goal_diversity=+0.300,0.6,1,12,1576.8
