decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,34.5,21.5,27,1,35.8,22.4,0,0,0,-0.4000,scoring_volume=-0.480,11.1,0,35,963.8
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,92.5,18.2,179,1,91.1,18.3,0,0,0,-0.4000,scoring_volume=-0.480,15.5,0,35,963.9
2,120.0,0,SCORE_LEFT_LONG_GOAL_ALLIANCE,SCORE_LEFT_LONG_GOAL_ALLIANCE,policy,21.1,31.2,241,2,23.6,36.4,3,36,-33,-103.0314,score_red=-108.000,16.6,0,28,1555.9
3,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.8,44.5,286,1,72.0,41.0,3,36,-33,-102.5521,score_red=-108.000,26.3,0,28,1556.0
4,120.0,0,SCORE_LEFT_LONG_GOAL_ALLIANCE,SCORE_LEFT_LONG_GOAL_ALLIANCE,policy,24.0,36.0,273,1,23.6,36.4,9,42,-33,-6.2909,score_red=-18.000,5.6,0,20,1593.7
5,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,74.4,39.9,156,5,72.0,41.0,9,42,-33,-5.1804,score_red=-18.000,17.9,0,20,1593.8
6,120.0,0,SCORE_LEFT_LONG_GOAL_ALLIANCE,SCORE_LEFT_LONG_GOAL_ALLIANCE,policy,24.6,36.2,270,1,,,15,57,-42,-34.9617,score_red=-45.000,0.7,0,18,1581.2
7,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.6,44.8,315,1,72.0,41.0,15,57,-42,-29.0984,score_red=-45.000,17.9,0,18,1581.3
8,120.0,0,SCORE_LEFT_LONG_GOAL_ALLIANCE,SCORE_LEFT_LONG_GOAL_ALLIANCE,policy,53.1,35.9,11,0,23.6,36.4,18,57,-39,7.9629,score_blue=+6.000,28.5,0,18,1594.8
9,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_LOW_RIGHT,committed,76.4,39.0,156,1,72.0,41.0,18,57,-39,9.5321,score_blue=+6.000,16.3,0,18,1594.9
10,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.9,52.6,148,1,38.2,53.6,18,57,-39,1.9429,ctrl_us=+2.000,21.3,0,16,1589.6
11,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,115.5,38.1,262,1,95.0,40.0,18,57,-39,1.8066,ctrl_us=+2.000,39.1,0,16,1589.8
12,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,57.4,37.8,168,1,72.0,41.0,21,57,-36,10.9469,score_blue=+6.000,22.9,0,16,1594.6
13,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,87.0,37.9,169,0,120.4,36.4,21,57,-36,11.0229,score_blue=+6.000,28.5,0,16,1594.7
14,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.6,45.3,230,1,72.0,41.0,21,57,-36,3.8639,ctrl_us=+4.000,8.9,0,15,1652.3
15,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,106.9,57.9,41,1,108.2,59.1,21,57,-36,3.8829,ctrl_us=+4.000,28.2,0,15,1652.5
16,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,62.5,47.6,325,1,72.0,41.0,27,57,-30,20.2852,score_blue=+12.000,10.2,0,14,1626.0
17,120.0,1,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,115.6,39.1,270,0,120.4,36.4,27,57,-30,19.3808,score_blue=+12.000,20.7,0,14,1626.1
18,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.4,45.1,227,0,72.0,41.0,27,60,-33,-3.1421,score_red=-9.000,10.4,0,14,1575.3
19,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,60,-33,-4.6714,score_red=-9.000,0.0,0,14,1575.5
20,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,35.0,64.0,90,1,49.0,40.0,27,60,-33,3.7086,ctrl_us=+4.000,25.7,0,13,1570.7
21,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,60,-33,4.3286,ctrl_us=+4.000,0.0,0,13,1570.9
22,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,61.8,37.0,172,1,72.0,41.0,27,60,-33,4.2744,ctrl_us=+4.000,38.1,0,13,1569.3
23,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,60,-33,4.3286,ctrl_us=+4.000,0.0,0,13,1569.4
24,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.7,44.9,226,1,72.0,41.0,27,60,-33,4.1717,ctrl_us=+4.000,12.1,0,13,1553.9
25,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,60,-33,4.3286,ctrl_us=+4.000,0.0,0,13,1554.0
26,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,35.0,64.0,90,0,72.0,41.0,27,63,-36,-3.0857,score_red=-9.000,26.1,0,13,1554.4
27,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,-4.6857,score_red=-9.000,0.0,0,13,1554.5
28,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,38.3,64.0,88,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,3.4,1,13,1161.4
29,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,4.3143,ctrl_us=+4.000,0.0,0,13,1161.6
30,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.3,64.0,89,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,0.9,1,13,927.0
31,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,4.3143,ctrl_us=+4.000,0.0,0,13,927.1
32,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.4,64.0,90,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,0.1,1,13,934.8
33,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,4.3143,ctrl_us=+4.000,0.0,0,13,935.0
34,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.4,64.0,90,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,0.0,1,13,928.9
35,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,4.3143,ctrl_us=+4.000,0.0,0,13,929.0
36,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.4,64.0,90,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,0.0,1,13,931.3
37,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,4.3143,ctrl_us=+4.000,0.0,0,13,931.5
38,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.4,64.0,90,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,0.0,1,13,934.6
39,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,4.3143,ctrl_us=+4.000,0.0,0,13,934.8
40,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.4,64.0,90,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,0.0,1,13,937.3
41,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,4.3143,ctrl_us=+4.000,0.0,0,13,937.4
42,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.4,64.0,90,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,0.0,1,13,941.9
43,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,4.3143,ctrl_us=+4.000,0.0,0,13,942.0
44,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.4,64.0,90,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,0.0,1,13,944.6
45,120.0,1,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,27,63,-36,4.3143,ctrl_us=+4.000,0.0,0,13,944.7
46,120.0,0,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,DESCORE_LEFT_LONG_GOAL_OPPONENT_FIELD,policy,39.4,64.0,90,0,39.5,101.2,27,63,-36,4.1143,ctrl_us=+4.000,0.0,1,13,935.7
