decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,52.6,28.1,22,3,53.8,28.6,0,0,0,-0.9400,collect_red=-0.500,30.3,0,35,913.9
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,81.1,28.1,157,2,80.0,28.6,0,0,0,-0.3200,scoring_volume=-0.480,28.7,0,35,914.0
2,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,63.2,35.5,32,3,72.0,41.0,0,6,-6,-18.5943,score_red=-18.000,12.9,0,32,1543.1
3,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,75.9,43.4,212,2,72.0,41.0,0,6,-6,-18.4743,score_red=-18.000,16.2,0,32,1543.2
4,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,42.7,37.1,209,4,72.0,41.0,0,21,-21,-48.2493,score_red=-45.000,20.6,0,24,1572.2
5,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,80.0,34.3,267,2,72.0,41.0,0,21,-21,-47.4943,score_red=-45.000,10.0,0,24,1572.3
6,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.4,44.8,257,4,72.0,41.0,3,21,-18,7.5369,score_blue=+6.000,12.4,0,23,1586.4
7,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.5,44.7,315,1,72.0,41.0,3,21,-18,9.3048,score_blue=+6.000,15.5,0,23,1586.5
8,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,42.8,30.6,344,1,72.0,41.0,12,30,-18,-1.8705,score_red=-27.000,17.2,0,21,1568.2
9,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.7,42.6,293,1,72.0,41.0,12,30,-18,-7.3335,score_red=-27.000,2.1,1,21,1568.4
