decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,111.2,33.0,50,2,112.6,34.3,0,0,0,-0.3200,scoring_volume=-0.480,15.3,0,34,1014.0
1,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,134.2,126.4,344,1,135.5,126.0,0,0,0,-1.1054,collect_red=-0.500,26.2,0,34,1014.2
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,114.2,32.3,182,0,120.4,36.4,6,3,3,2.3952,score_blue=+12.000,3.1,1,30,1566.5
3,120.0,1,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,130.3,123.0,50,0,120.4,107.6,6,3,3,2.4400,score_blue=+12.000,5.2,1,30,1566.6
4,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,102.5,41.4,129,4,101.8,42.5,6,24,-18,-63.7829,score_red=-63.000,14.8,0,21,1591.8
5,120.0,1,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,105.5,100.2,13,3,95.0,104.0,6,24,-18,-65.3125,score_red=-63.000,33.7,0,21,1591.9
6,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.5,40.0,324,4,72.0,41.0,6,24,-18,-0.6257,scoring_volume=-0.360,11.1,0,21,1598.7
7,120.0,1,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,84.9,99.9,18,3,72.0,103.0,6,24,-18,-0.8277,scoring_volume=-0.360,20.6,0,21,1598.9
8,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,91.6,44.8,314,3,72.0,41.0,9,27,-18,1.6836,score_red=-9.000,4.8,0,20,1588.1
9,120.0,1,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,91.8,99.3,45,2,72.0,103.0,9,27,-18,1.5973,score_red=-9.000,7.0,0,20,1588.2
10,120.0,0,SCORE_CENTER_LOW,SCORE_CENTER_LOW,policy,65.7,35.7,179,0,72.0,41.0,15,36,-21,-7.9800,score_red=-27.000,27.5,0,20,1587.8
11,120.0,1,SCORE_CENTER_MID,SCORE_CENTER_MID,policy,112.0,119.5,45,0,72.0,103.0,15,36,-21,-9.4800,score_red=-27.000,28.5,0,20,1587.9
12,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.7,80,0,49.0,40.0,15,33,-18,9.5123,score_red=+9.000,45.4,0,21,1588.8
13,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,55.9,106.4,199,0,49.0,104.0,15,33,-18,9.4200,score_red=+9.000,57.6,0,21,1588.9
14,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.7,80,0,23.6,25.6,15,27,-12,18.3343,score_red=+18.000,0.0,1,21,1596.6
15,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,21.7,113.2,281,0,49.0,104.0,15,27,-12,18.5325,score_red=+18.000,34.9,0,21,1596.8
16,120.0,0,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,20.5,31.7,80,0,23.6,25.6,15,21,-6,18.8486,score_red=+18.000,0.0,1,22,1582.3
17,120.0,1,DESCORE_OPP_LONG,DESCORE_OPP_LONG,policy,21.7,113.2,281,0,23.6,107.6,15,21,-6,18.8486,score_red=+18.000,0.0,1,22,1582.4
18,120.0,0,DESCORE_CENTER,DESCORE_CENTER,policy,68.5,45.6,166,0,72.0,41.0,15,21,-6,0.9298,ctrl_us=+4.000,50.0,0,21,1580.7
19,120.0,1,DESCORE_CENTER,DESCORE_CENTER,policy,35.9,73.4,239,0,49.0,104.0,15,21,-6,0.9486,ctrl_us=+4.000,42.3,0,21,1580.8
