decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,18.4,19.9,243,3,19.4,18.3,0,0,0,-1.8619,collect_red=-1.000,5.9,1,38,923.1
1,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,107.7,46.5,79,3,108.0,48.0,0,0,0,-1.6400,collect_red=-1.000,28.5,0,38,923.2
2,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,71.0,40.9,64,3,72.0,41.0,3,6,-3,-12.7090,score_red=-18.000,56.6,0,38,1564.7
3,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,98.3,48.3,297,0,72.0,41.0,3,6,-3,-7.9743,score_red=-18.000,9.6,0,38,1564.8
4,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,52.2,44.7,225,1,72.0,41.0,6,9,-3,-0.2501,score_red=-9.000,19.2,0,37,1563.6
5,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,80.0,46.5,98,1,95.0,40.0,6,9,-3,-3.0293,score_red=-9.000,18.4,0,37,1563.8
6,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,45.8,53.1,225,1,72.0,41.0,9,15,-6,-8.6543,score_red=-18.000,10.5,0,34,1566.9
7,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,91.2,44.9,313,1,72.0,41.0,9,15,-6,-12.1907,score_red=-18.000,11.3,0,34,1567.0
8,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,66.0,45.6,322,1,72.0,41.0,12,18,-6,-1.6061,score_red=-9.000,21.6,0,32,1563.5
9,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,93.9,40.5,338,1,72.0,41.0,12,18,-6,-2.4013,score_red=-9.000,5.1,1,32,1563.6
10,120.0,0,SCORE_MID_LEFT,SCORE_MID_LEFT,policy,49.6,41.1,233,0,72.0,41.0,15,18,-3,7.4673,score_blue=+6.000,17.0,0,32,1554.1
11,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,92.2,44.8,311,1,72.0,41.0,15,18,-3,5.8050,score_blue=+6.000,4.5,0,32,1554.3
12,120.0,0,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,19.2,39.1,84,1,49.0,40.0,15,21,-6,-8.9050,score_red=-9.000,30.4,0,31,1217.2
13,120.0,1,SCORE_LOW_RIGHT,SCORE_LOW_RIGHT,policy,80.0,42.8,112,0,72.0,41.0,15,21,-6,-7.4895,score_red=-9.000,12.4,0,31,1217.3
14,120.0,0,SCORE_LOW_LEFT,SCORE_LOW_LEFT,policy,55.1,74.9,59,1,72.0,103.0,15,21,-6,-0.1700,goal_diversity=+0.300,50.6,0,31,1609.0
15,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,80.0,23.2,270,0,80.0,21.6,15,21,-6,0.0200,goal_diversity=+0.300,19.6,0,31,1609.1
16,120.0,0,SCORE_LOW_LEFT,SCORE_LOW_LEFT,policy,71.7,80.0,89,1,72.0,103.0,15,21,-6,-0.0000,goal_diversity=+0.300,17.4,0,31,1596.1
17,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,80.0,23.2,270,0,80.0,23.2,15,21,-6,0.0200,goal_diversity=+0.300,0.0,0,31,1596.2
18,120.0,0,SCORE_LOW_LEFT,SCORE_LOW_LEFT,policy,64.0,64.0,90,1,72.0,103.0,15,21,-6,-0.0000,goal_diversity=+0.300,17.7,0,31,969.1
19,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,80.0,23.2,270,0,80.0,23.2,15,21,-6,0.0200,goal_diversity=+0.300,0.0,0,31,969.2
20,120.0,0,SCORE_LOW_LEFT,SCORE_LOW_LEFT,policy,64.0,64.0,89,1,72.0,103.0,15,21,-6,-0.2000,goal_diversity=+0.300,0.0,1,31,1436.9
21,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,80.0,23.2,270,0,80.0,23.2,15,21,-6,0.0200,goal_diversity=+0.300,0.0,0,31,1437.1
22,120.0,0,SCORE_LOW_LEFT,SCORE_LOW_LEFT,policy,64.0,64.0,89,1,72.0,103.0,15,21,-6,-0.2000,goal_diversity=+0.300,0.0,1,31,1463.6
23,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,80.0,23.2,270,0,80.0,23.2,15,21,-6,0.0200,goal_diversity=+0.300,0.0,0,31,1463.7
24,120.0,0,SCORE_LOW_LEFT,SCORE_LOW_LEFT,policy,64.0,64.0,89,1,72.0,103.0,15,21,-6,-0.2000,goal_diversity=+0.300,0.0,1,31,1410.1
25,120.0,1,COLLECT_BLOCKS,COLLECT_BLOCKS,policy,80.0,23.2,270,0,80.0,23.2,15,21,-6,0.0200,goal_diversity=+0.300,0.0,0,31,1410.3
