decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
35,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,0,78,-78,-2.1829,ctrl_opp=-3.000,0.0,0,14,1561.9
36,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.1,360,3,95.0,40.0,0,78,-78,-2.4179,ctrl_opp=-3.000,16.7,0,13,1568.1
37,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,0,78,-78,-2.1829,ctrl_opp=-3.000,0.0,0,13,1568.2
38,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,47.4,42.2,122,3,95.0,40.0,0,78,-78,-2.3629,ctrl_opp=-3.000,16.7,0,13,1574.1
39,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,0,78,-78,-2.1829,ctrl_opp=-3.000,0.0,0,13,1574.2
40,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.1,360,3,95.0,40.0,0,78,-78,-2.4179,ctrl_opp=-3.000,16.7,0,13,1572.2
41,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,0,78,-78,-2.1829,ctrl_opp=-3.000,0.0,0,13,1572.3
42,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,47.4,42.2,122,3,95.0,40.0,0,78,-78,-2.3629,ctrl_opp=-3.000,16.7,0,13,1558.3
43,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,0,78,-78,-2.1829,ctrl_opp=-3.000,0.0,0,13,1558.5
44,120.0,0,SCORE_RIGHT_LONG_GOAL_ALLIANCE,SCORE_RIGHT_LONG_GOAL_ALLIANCE,policy,64.0,40.1,360,3,95.0,40.0,0,78,-78,-2.4179,ctrl_opp=-3.000,16.7,0,13,1565.9
45,120.0,1,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,DESCORE_RIGHT_LONG_GOAL_OPPONENT_FIELD,policy,115.6,39.1,270,0,,,0,78,-78,-2.1829,ctrl_opp=-3.000,0.0,0,13,1566.0
